,feature,proba,topic_num,cv_index,cv_index_1
555,algorithm,0.0012670802,5,['vi188'],vi188
557,sequence,0.0012594328,5,['vi1256'],vi1256
559,corpus,0.0012418359,5,['vi619'],vi619
574,unigram,0.001120676,5,"['vi962', 'vi1577']",vi962
583,counts,0.0010181062,5,"['vi562', 'vi1995']",vi562
584,trigram,0.0010165728,5,"['vi75', 'vi1713']",vi75
586,spelling_correction,0.0010124126,5,"['vi1368', 'vi2025']",vi1368
587,list,0.001011737,5,['vi1500'],vi1500
590,interpolation,0.0010092602,5,['vi153'],vi153
591,first,0.0009132997,5,['vi875'],vi875
598,language,0.00090083934,5,['vi1728'],vi1728
607,noun_phrase,0.0064947074,6,['vi1739'],vi1739
620,features,0.0049888054,6,"['vi1740', 'vi1796']",vi1740
622,accuracy,0.0047533754,6,['vi79'],vi79
623,verb,0.0046080365,6,['vi1601'],vi1601
631,parsing,0.0038960658,6,"['vi1016', 'vi1133']",vi1016
641,sentence,0.003488098,6,['vi1026'],vi1026
644,words,0.003426994,6,['vi540'],vi540
652,information,0.003129702,6,['vi171'],vi171
654,problem,0.0030530377,6,['vi427'],vi427
655,model,0.0030452192,6,['vi859'],vi859
660,word,0.0029041455,6,['vi25'],vi25
661,dependencies,0.0028708603,6,['vi762'],vi762
669,example,0.0025904865,6,['vi1924'],vi1924
671,time,0.0025468941,6,['vi1992'],vi1992
672,dependency,0.0025462303,6,['vi1231'],vi1231
678,precision,0.0023209373,6,['vi2062'],vi2062
679,lambda,0.002320252,6,['vi1391'],vi1391
685,terms,0.0022485112,6,['vi889'],vi889
687,verb_phrase,0.002202913,6,['vi1236'],vi1236
690,precision_recall,0.0021370645,6,['vi89'],vi89
699,models,0.0020273535,6,['vi544'],vi544
700,sentence,0.01929438,7,['vi1026'],vi1026
702,example,0.012703712,7,['vi1924'],vi1924
703,problem,0.011467418,7,['vi427'],vi427
705,models,0.010128991,7,['vi544'],vi544
707,input,0.00838349,7,['vi1836'],vi1836
708,model,0.0073327445,7,['vi859'],vi859
711,first,0.0067867357,7,['vi875'],vi875
712,vector,0.006596622,7,['vi412'],vi412
713,case,0.006580091,7,['vi991'],vi991
717,dependency,0.005907437,7,['vi1231'],vi1231
718,tagging,0.005714872,7,['vi1889'],vi1889
722,words,0.005373333,7,['vi540'],vi540
723,algorithm,0.005328372,7,['vi188'],vi188
724,examples,0.0050922916,7,['vi103'],vi103
726,sequence,0.004933664,7,['vi1256'],vi1256
727,function,0.004691548,7,['vi535'],vi535
729,features,0.004509425,7,"['vi1740', 'vi1796']",vi1740
737,sentences,0.0039138813,7,['vi1592'],vi1592
739,word,0.0038627465,7,['vi25'],vi25
740,output,0.003835744,7,['vi1704'],vi1704
743,tags,0.0037016212,7,['vi246'],vi246
746,define,0.0035752053,7,['vi125'],vi125
753,parameters,0.0032000637,7,"['vi543', 'vi749']",vi543
756,english,0.0028985506,7,"['vi1140', 'vi1511']",vi1140
761,feature_vectors,0.0027856403,7,['vi1693'],vi1693
767,parse_tree,0.0026332685,7,['vi1298'],vi1298
769,part_speech,0.0026040506,7,['vi1189'],vi1189
780,training,0.0023309789,7,['vi222'],vi222
782,verb,0.0023101044,7,['vi1601'],vi1601
790,dependencies,0.002216415,7,['vi762'],vi762
797,gradient,0.00214185,7,['vi1963'],vi1963
800,question,0.013505799,8,['vi248'],vi248
802,example,0.011853484,8,['vi1924'],vi1924
810,words,0.0061948937,8,['vi540'],vi540
812,word,0.005192055,8,['vi25'],vi25
821,query,0.004165213,8,['vi606'],vi606
825,first,0.003981355,8,['vi875'],vi875
837,case,0.0030662455,8,['vi991'],vi991
840,meaning,0.0029198586,8,['vi2053'],vi2053
843,time,0.0027977447,8,['vi1992'],vi1992
845,sentence,0.002702441,8,['vi1026'],vi1026
850,information_extraction,0.0025767596,8,"['vi27', 'vi1428']",vi27
858,question_answering,0.0023866573,8,['vi1844'],vi1844
863,sentences,0.0022091689,8,['vi1592'],vi1592
864,relations,0.0021569931,8,['vi1846'],vi1846
871,entity,0.0020451504,8,['vi724'],vi724
880,language,0.001923528,8,['vi1728'],vi1728
891,applications,0.0017639378,8,['vi1727'],vi1727
893,problem,0.0017446936,8,['vi427'],vi427
894,relation,0.0017281383,8,"['vi1546', 'vi1703']",vi1546
900,english,0.04426448,9,"['vi1140', 'vi1511']",vi1140
901,language,0.026634214,9,['vi1728'],vi1728
902,languages,0.026152363,9,"['vi160', 'vi365']",vi160
904,french,0.017551806,9,['vi924'],vi924
905,example,0.015154134,9,['vi1924'],vi1924
909,word,0.008148838,9,['vi25'],vi25
911,spanish,0.0069473535,9,"['vi696', 'vi1480']",vi696
913,machine_translation,0.0065463535,9,"['vi1273', 'vi1332']",vi1273
915,words,0.0059690145,9,['vi540'],vi540
920,japanese,0.004685631,9,['vi256'],vi256
922,verb,0.0044052177,9,['vi1601'],vi1601
924,examples,0.0042621293,9,['vi103'],vi103
925,german,0.0042195152,9,['vi345'],vi345
929,word_order,0.0040525883,9,['vi1032'],vi1032
937,russian,0.0035060449,9,['vi1660'],vi1660
941,problem,0.0032775193,9,['vi427'],vi427
943,first,0.0032283214,9,['vi875'],vi875
944,ibm_models,0.0030871036,9,"['vi916', 'vi1204']",vi916
951,translation_systems,0.0029037218,9,['vi1700'],vi1700
961,generation,0.002428558,9,"['vi265', 'vi1747']",vi265
962,linguistics,0.0024283312,9,"['vi1118', 'vi1658']",vi1118
971,time,0.0022865406,9,['vi1992'],vi1992
972,modern,0.0022774716,9,['vi1018'],vi1018
977,case,0.002188272,9,['vi991'],vi991
979,naclo,0.0021616565,9,['vi1526'],vi1526
988,research,0.0019635158,9,['vi1583'],vi1583
990,computational_linguistics,0.0018888278,9,['vi423'],vi423
1000,example,0.019392742,10,['vi1924'],vi1924
1001,sentence,0.018785056,10,['vi1026'],vi1026
1003,sentences,0.011634637,10,['vi1592'],vi1592
1006,first,0.007951033,10,['vi875'],vi875
1007,word,0.0073091304,10,['vi25'],vi25
1010,words,0.0064903228,10,['vi540'],vi540
1016,case,0.004548562,10,['vi991'],vi991
1017,noun,0.0044915606,10,['vi1465'],vi1465
1018,verb,0.0043751146,10,['vi1601'],vi1601
1024,noun_phrase,0.0036001762,10,['vi1739'],vi1739
1025,method,0.003452498,10,['vi1456'],vi1456
1032,examples,0.0030343367,10,['vi103'],vi103
1034,algorithm,0.0028403266,10,['vi188'],vi188
1037,time,0.0026355067,10,['vi1992'],vi1992
1045,information,0.0023923449,10,['vi171'],vi171
1050,verb_phrase,0.0023009905,10,['vi1236'],vi1236
1067,output,0.0019682313,10,['vi1704'],vi1704
1074,english,0.0018257247,10,"['vi1140', 'vi1511']",vi1140
1076,parsing,0.0018158089,10,"['vi1016', 'vi1133']",vi1016
1080,prepositional_phrase,0.0017884139,10,['vi236'],vi236
1081,problem,0.0017857577,10,['vi427'],vi427
1089,similar,0.0016788858,10,['vi1928'],vi1928
1095,sequence,0.0016424281,10,['vi1256'],vi1256
1096,techniques,0.001635499,10,['vi741'],vi741
1097,determiner,0.0016235928,10,['vi421'],vi421
1100,words,0.022973217,11,['vi540'],vi540
1102,word,0.019163724,11,['vi25'],vi25
1103,probability,0.01581491,11,"['vi1296', 'vi1474']",vi1296
1105,state,0.009521253,11,['vi670'],vi670
1106,sentence,0.009069721,11,['vi1026'],vi1026
1107,example,0.008806096,11,['vi1924'],vi1924
1115,first,0.0060519194,11,['vi875'],vi875
1119,count,0.0051522576,11,['vi822'],vi822
1121,dependency,0.0050923084,11,['vi1231'],vi1231
1122,estimate,0.0050653745,11,['vi1746'],vi1746
1125,language_model,0.004782936,11,"['vi121', 'vi1184']",vi121
1131,english,0.004084293,11,"['vi1140', 'vi1511']",vi1140
1132,previous,0.003957035,11,['vi1268'],vi1268
1135,bigram,0.0036862977,11,['vi1850'],vi1850
1138,model,0.0035806305,11,['vi859'],vi859
1146,probabilities,0.003379477,11,['vi776'],vi776
1147,similar,0.0033436373,11,['vi1928'],vi1928
1155,sequence,0.0030367682,11,['vi1256'],vi1256
1157,case,0.0029137246,11,['vi991'],vi991
1159,trigram,0.002722921,11,"['vi75', 'vi1713']",vi75
1160,counts,0.0026421202,11,"['vi562', 'vi1995']",vi562
1162,dependencies,0.002583376,11,['vi762'],vi762
1167,corpus,0.0024333566,11,['vi619'],vi619
1173,unigram,0.0022317306,11,"['vi962', 'vi1577']",vi962
1175,information,0.0021668414,11,['vi171'],vi171
1176,sentences,0.0021447265,11,['vi1592'],vi1592
1184,language_modeling,0.0019905886,11,"['vi1814', 'vi1996']",vi1814
1187,lambda,0.0018920739,11,['vi1391'],vi1391
1191,define,0.0018322634,11,['vi125'],vi125
1193,language,0.0017982096,11,['vi1728'],vi1728
1202,query,0.016990192,12,['vi606'],vi606
1203,words,0.016985683,12,['vi540'],vi540
1205,word,0.009646378,12,['vi25'],vi25
1206,cluster,0.009483707,12,['vi1071'],vi1071
1210,vector,0.007197462,12,['vi412'],vi412
1211,information_retrieval,0.0069455667,12,['vi1983'],vi1983
1214,terms,0.0068271207,12,['vi889'],vi889
1215,example,0.0064397696,12,['vi1924'],vi1924
1218,first,0.005389958,12,['vi875'],vi875
1223,similarity,0.0047776727,12,['vi1668'],vi1668
1231,clustering,0.004233687,12,['vi844'],vi844
1233,postings,0.004108586,12,['vi1155'],vi1155
1235,similar,0.0040114294,12,['vi1928'],vi1928
1240,algorithm,0.0036278449,12,['vi188'],vi188
1245,cosine,0.003277755,12,['vi1530'],vi1530
1259,list,0.002714502,12,['vi1500'],vi1500
1262,case,0.0025899464,12,['vi991'],vi991
1270,document_frequency,0.002451136,12,['vi413'],vi413
1274,vector_space,0.0023902413,12,['vi1119'],vi1119
1281,term_frequency,0.0022750709,12,['vi172'],vi172
1283,brown,0.002238762,12,['vi617'],vi617
1286,cosine_similarity,0.0021570318,12,['vi12'],vi12
1294,tfidf,0.0020539947,12,['vi1920'],vi1920
1298,model,0.0019767615,12,['vi859'],vi859
1302,grammar,0.019325122,13,['vi65'],vi65
1305,example,0.012568294,13,['vi1924'],vi1924
1307,sentence,0.010095324,13,['vi1026'],vi1026
1308,noun_phrase,0.009793482,13,['vi1739'],vi1739
1310,verb,0.008662173,13,['vi1601'],vi1601
1314,probability,0.008188372,13,"['vi1296', 'vi1474']",vi1296
1316,prepositional_phrase,0.006786977,13,['vi236'],vi236
1320,parse_tree,0.006130147,13,['vi1298'],vi1298
1323,words,0.005654958,13,['vi540'],vi540
1325,first,0.005546752,13,['vi875'],vi875
1328,noun,0.0051636193,13,['vi1465'],vi1465
1329,case,0.005157672,13,['vi991'],vi991
1331,verb_phrase,0.004950834,13,['vi1236'],vi1236
1333,parsing,0.004896767,13,"['vi1016', 'vi1133']",vi1016
1339,word,0.0046419385,13,['vi25'],vi25
1340,probabilities,0.0045617204,13,['vi776'],vi776
1349,constituent,0.004050286,13,['vi754'],vi754
1355,lexical,0.003560973,13,['vi178'],vi178
1360,constituents,0.0034282901,13,['vi280'],vi280
1373,span,0.0027498885,13,['vi1816'],vi1816
1374,context_free_grammar,0.002727847,13,['vi738'],vi738
1377,language,0.0027022916,13,['vi1728'],vi1728
1378,algorithm,0.0026262433,13,['vi188'],vi188
1389,chomsky_normal_form,0.0022540088,13,['vi795'],vi795
1390,treebank,0.0022322924,13,['vi444'],vi444
1396,dynamic_programming,0.002167407,13,['vi779'],vi779
1398,sequence,0.002136069,13,['vi1256'],vi1256
