,head,variable,value
25,Course1_W9-S1-L2_Word_Cluster_Representations_8-36,concept_vocab_index,vi318
26,Course1_W6-S2-L2_Definition_of_the_Decoding_Problem_Part_2_13-00,concept_vocab_index,vi1125
27,Course3_W3-S1-L7_-_NLP_Tasks_3-3_-_21_slides_16-21,concept_vocab_index,vi173
28,Course1_W3-S1-L6_A_Simple_Grammar_for_English_Part_1_10-32,concept_vocab_index,vi401
29,Course1_W3-S2-L4_The_CKY_Parsing_Algorithm_Part_1__7-31,concept_vocab_index,vi1003
30,Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,concept_vocab_index,vi249
31,Course1_W9-S1-L4_The_Brown_Clustering_Algorithm_Part_2_8-30,concept_vocab_index,vi1282
32,Course3_W5-S1-L8_-_Alternative_Parsing_Formalisms_-_10_slides_10-03,concept_vocab_index,vi785
33,Course3_W4-S1-L2_-_Parsing_-_22_slides_17-38,concept_vocab_index,vi1880
34,Course3_W5-S1-L7_-_Dependency_Parsing_-_28_slides_18-04,concept_vocab_index,vi819
35,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,concept_vocab_index,vi1807
36,Course2_W7-S2-L8_Evaluating_Search_Engines_9-02,concept_vocab_index,vi1909
37,Course2_W7-S2-L6_The_Vector_Space_Model_16-22,concept_vocab_index,vi1740
38,Course1_W4-S1-L1_Weaknesses_of_PCFGs_14-59,concept_vocab_index,vi901
39,Course1_W2-S1-L1_The_Tagging_Problem_10-01,concept_vocab_index,vi197
40,Course3_W7-S1-L3_-_Hidden_Markov_Models_1-2_-_30_slides_24-41,concept_vocab_index,vi229
41,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,concept_vocab_index,vi1073
42,Course3_W3-S1-L1_-_Semantic_Similarity-_Synonymy_and_other_Semantic_Relations_-_23__slides_14-38,concept_vocab_index,vi892
43,Course3_W5-S1-L5_-_Statistical_Parsing_-_29_slides_12-52,concept_vocab_index,vi903
44,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi1880
45,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi901
46,Course1_W6-S1-L1_Introduction_0-41,concept_vocab_index,vi0
47,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi2069
48,Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,concept_vocab_index,vi751
49,Course2_W6-S3-L1_Dependency_Parsing_Introduction_10-25,concept_vocab_index,vi951
50,Course2_W2-S2-L1_The_Spelling_Correction_Task_5-39,concept_vocab_index,vi1842
51,Course3_W3-S1-L7_-_NLP_Tasks_3-3_-_21_slides_16-21,concept_vocab_index,vi192
52,Course3_W7-S1-L6_-_Information_Extraction_-_10_slides_05-37,concept_vocab_index,vi173
53,Course3_W5-S1-L4_-_Prepositional_phrase_attachment_3-3_-_18_slides_12-53,concept_vocab_index,vi887
54,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi129
55,Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,concept_vocab_index,vi1448
56,Course1_W4-S1-L1_Weaknesses_of_PCFGs_14-59,concept_vocab_index,vi0
57,Course2_W7-S1-L2_Term-Document_Incidence_Matrices_8-59,concept_vocab_index,vi1003
58,Course1_W9-S2-L6_Parameter_Estimation_with_the_Perceptron_Algorithm_6-11,concept_vocab_index,vi288
59,Course2_W3-S1-L7_Precision_Recall_and_the_F_measure_16-16,concept_vocab_index,vi814
60,Course1_W10-S1-L3_GLMs_for_Tagging_Part_1_5-26,concept_vocab_index,vi1132
61,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,concept_vocab_index,vi675
62,Course2_W1-S2-L4_Word_Normalization_and_Stemming_11-47,concept_vocab_index,vi1003
63,Course1_W3-S2-L4_The_CKY_Parsing_Algorithm_Part_1__7-31,concept_vocab_index,vi1075
64,Course2_W8-S1-L1_Word_Senses_and_Word_Relations_11-50,concept_vocab_index,vi573
65,Course3_W12-S1-L3_-_Dialogue_Systems_-_18_slides_09-22,concept_vocab_index,vi1945
66,Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56,concept_vocab_index,vi192
67,Course1_W8-S1-L8_Summary_2-45,l_text_topics,topic_3
68,Course1_W1-S1-L2_Introduction_Part_2_10-28,level,level_1
69,Course2_W6-S2-L4_The_Return_of_Unlexicalized_PCFGs_20-53,level,level_3
70,Course1_W9-S1-L3_The_Brown_Clustering_Algorithm_Part_1_11-50,concept_vocab_index,vi1018
71,Course1_W9-S1-L5_The_Brown_Clustering_Algorithm_Part_3_9-18,concept_vocab_index,vi318
72,Course1_W10-S1-L2_Recap_of_GLMs_7-40,concept_vocab_index,vi1282
73,Course3_W5-S1-L1_-_Parsing_Introduction_and_recap-Parsing_noun_sequences_-_20_slides_15-19,concept_vocab_index,vi81
74,Course2_W3-S1-L9_Practical_Issues_in_Text_Classification_5-56,l_text_topics,topic_14
75,Course3_W5-S1-L5_-_Statistical_Parsing_-_29_slides_12-52,concept_vocab_index,vi1520
76,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,concept_vocab_index,vi175
77,Course1_W5-S2-L4_IBM_Model_2_11-27,concept_vocab_index,vi173
78,Course2_W3-S1-L8_Text_Classification-_Evaluation_7-17,concept_vocab_index,vi951
79,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,concept_vocab_index,vi1282
80,Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56,concept_vocab_index,vi1132
81,Course1_W1-S3-L5_Summary_2-31,concept_vocab_index,vi167
82,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,concept_vocab_index,vi1063
83,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,concept_vocab_index,vi1740
84,Course1_W2-S1-L6_The_Viterbi_Algorithm_for_HMMs_Part_2_3-31,l_text_topics,topic_3
85,Course1_W8-S2-L1_Introduction_0-47,level,level_1
86,Course2_W7-S2-L5_TF-IDF_Weighting_3-42,concept_vocab_index,vi1220
87,Course2_W7-S2-L6_The_Vector_Space_Model_16-22,l_text_topics,topic_3
88,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,concept_vocab_index,vi675
89,Course2_W6-S2-L4_The_Return_of_Unlexicalized_PCFGs_20-53,concept_vocab_index,vi1600
90,Course3_W11-S1-L6_-_Knowledge_Representation_-_15_slides_12-18,concept_vocab_index,vi392
91,Course3_W10-S1-L1_-_Collocations_-_20_slides_11-54,concept_vocab_index,vi1758
92,Course2_W8-S3-L3_Evaluating_Summaries-_ROUGE,prerequisite,Course2_W8-S3-L2_Generating_Snippets
93,Course2_W7-S2-L4_Inverse_Document_Frequency_Weighting_10-16,concept_vocab_index,vi1909
94,Course3_W6-S1-L4_-_Language_Modeling_1-3_contd_-__5_slides_03-05,concept_vocab_index,vi192
95,Course1_W3-S1-L2_Introduction_to_the_Parsing_Problem_Part_1_10-37,concept_vocab_index,vi1132
96,Course1_W6-S1-L5_A_Sketch_of_Phrase-based_Translation_8-17,concept_vocab_index,vi388
97,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,concept_vocab_index,vi1673
98,Course2_W5-S1-L2_Feature_Overlap-Feature_Interaction_12-51,level,level_3
99,Course3_W7-S1-L5_-_Statistical_POS_Tagging_-_16_slides_09-28,concept_vocab_index,vi1132
100,Course2_W4-S2-L4_Maximum_Entropy_Sequence_Models_13-01,concept_vocab_index,vi887
101,Course2_W2-S1-L4_Generalization_and_Zeros_5-15,concept_vocab_index,vi812
102,Course2_W5-S3-L3_The_Exponential_Problem_in_Parsing_14-30,prerequisite,Course2_W5-S3-L2_Empirical-Data-Driven_Approach_to_Parsing_7-11
103,Course3_W12-S1-L2_-_Coherence_-_19_slides_16-39,concept_vocab_index,vi1433
104,Course1_W2-S1-L3_Hidden_Markov_Models_HMMs-_Basic_Definitions_12-00,concept_vocab_index,vi1060
105,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,concept_vocab_index,vi1893
106,Course1_W3-S1-L1_Introduction_0-28,prerequisite,Course1_W3-S1-L10_Examples_of_Ambiguity_5-56
107,Course2_W4-S3-L1_What_is_Relation_Extraction_9-47,l_text_topics,topic_0
108,Course3_W4-S1-L1_-_Syntax_-_30_slides_31-02,concept_vocab_index,vi1754
109,Course1_W5-S2-L7_The_EM_Algorithm_for_IBM_Model_2_Part_3_9-28,concept_vocab_index,vi192
110,Course2_W4-S1-L3_Feature-Based_Linear_Classifiers_13-34,concept_vocab_index,vi1003
111,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,l_text_topics,topic_8
112,Course1_W3-S1-L4_Context-Free_Grammars_Part_1_12-11,concept_vocab_index,vi675
113,Course2_W4-S1-L1_Generative_vs,level,level_3
114,Course1_W3-S2-L5_The_CKY_Parsing_Algorithm_Part_2__13-22,concept_vocab_index,vi145
115,Course3_W11-S1-L3_-_Semantics_-_15_slides_07-24,concept_vocab_index,vi1842
116,Course1_W5-S1-L5_Classical_Approaches_to_MT_Part_2_5-56,concept_vocab_index,vi1880
117,Course2_W4-S1-L6_Maximizing_the_Likelihood_10-29,concept_vocab_index,vi1503
118,Course2_W4-S1-L6_Maximizing_the_Likelihood_10-29,concept_vocab_index,vi675
119,Course3_W5-S1-L5_-_Statistical_Parsing_-_29_slides_12-52,concept_vocab_index,vi283
120,Course2_W6-S1-L5_Constituency_Parser_Evaluation_9-45,l_text_topics,topic_8
121,Course1_W1-S1-L2_Introduction_Part_2_10-28,concept_vocab_index,vi871
122,Course2_W5-S2-L1_An_Intro_to_Parts_of_Speech_and_POS_Tagging_13-19,concept_vocab_index,vi1789
123,Course1_W3-S2-L3_Basics_of_PCFGs_Part_2_8-26,concept_vocab_index,vi672
124,Course1_W3-S2-L4_The_CKY_Parsing_Algorithm_Part_1__7-31,concept_vocab_index,vi192
125,Course1_W6-S1-L4_Learning_Phrases_from_Alignments_Part_3_8-47,concept_vocab_index,vi892
126,Course2_W1-S3-L3_Backtrace_for_Computing_Alignments_5-55,concept_vocab_index,vi1454
127,Course1_W4-S2-L7_Evaluation_of_Lexicalized_PCFGs_Part_2_11-28,concept_vocab_index,vi1003
128,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi2039
129,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi1845
130,Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56,concept_vocab_index,vi4
131,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi517
132,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,concept_vocab_index,vi4
133,Course2_W4-S3-L3_Supervised_Relation_Extraction_10-51,concept_vocab_index,vi1893
134,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,concept_vocab_index,vi1132
135,Course1_W3-S1-L6_A_Simple_Grammar_for_English_Part_1_10-32,l_text_topics,topic_13
136,Course3_W11-S1-L4_-_Representing_and_Understanding_Meaning_-_14_slides_09-22,l_text_topics,topic_6
137,Course2_W6-S1-L3_CKY_Parsing_23-25,concept_vocab_index,vi1807
138,Course1_W8-S1-L8_Summary_2-45,concept_vocab_index,vi1295
139,Course2_W8-S2-L2_Answer_Types_and_Query_Formulation_8-47,concept_vocab_index,vi318
140,Course1_W2-S1-L7_The_Viterbi_Algorithm_for_HMMs_Part_3_7-33,concept_vocab_index,vi688
141,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,l_text_topics,topic_3
142,Course2_W5-S1-L4_Smoothing-Regularization-Priors_for_Maxent_Models_29-24,concept_vocab_index,vi2049
143,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi831
144,Course3_W7-S1-L7_-_Relation_Extraction_-_28_slides_21-26,concept_vocab_index,vi175
145,Course3_W7-S1-L2_-_Part_of_Speech_Tagging_-_15_slides_18-08,concept_vocab_index,vi84
146,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,concept_vocab_index,vi1880
147,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,concept_vocab_index,vi2014
148,Course2_W4-S2-L2_Evaluation_of_Named_Entity_Recognition_6-34,concept_vocab_index,vi67
149,Course1_W5-S2-L6_The_EM_Algorithm_for_IBM_Model_2_Part_2_8-37,concept_vocab_index,vi1474
150,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,concept_vocab_index,vi0
151,Course3_W1-S1-L5_-_Why_is_NLP_hard_-_18_slides_25-56,concept_vocab_index,vi1062
152,Course2_W2-S2-L1_The_Spelling_Correction_Task_5-39,concept_vocab_index,vi435
153,Course2_W3-S1-L7_Precision_Recall_and_the_F_measure_16-16,l_text_topics,topic_14
154,Course1_W9-S1-L4_The_Brown_Clustering_Algorithm_Part_2_8-30,concept_vocab_index,vi672
155,Course2_W2-S1-L6_Interpolation_10-25,concept_vocab_index,vi1922
156,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi226
157,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,concept_vocab_index,vi173
158,Course2_W4-S1-L4_Building_a_Maxent_Model-_The_Nuts_and_Bolts_8-04,concept_vocab_index,vi435
159,Course2_W5-S1-L4_Smoothing-Regularization-Priors_for_Maxent_Models_29-24,concept_vocab_index,vi688
160,Course2_W6-S3-L1_Dependency_Parsing_Introduction_10-25,concept_vocab_index,vi751
161,Course1_W8-S2-L4_Representing_Trees_as_Decision_Sequences_Part_2_10-20,concept_vocab_index,vi653
162,Course1_W5-S2-L4_IBM_Model_2_11-27,concept_vocab_index,vi0
163,Course2_W2-S1-L7_Good-Turing_Smoothing_15-35,concept_vocab_index,vi1566
164,Course1_W5-S1-L6_Introduction_to_Statistical_MT_12-31,concept_vocab_index,vi672
165,Course3_W8-S1-L1_-_Question_Answering_-_21_slides_21-39,concept_vocab_index,vi567
166,Course1_W5-S2-L8_The_EM_Algorithm_for_IBM_Model_2_Part_4_4-52,concept_vocab_index,vi175
167,Course1_W10-S1-L4_GLMs_for_Tagging_Part_2_7-35,l_text_topics,topic_10
168,Course1_W9-S2-L4_Three_Components_of_GLMs_14-39,concept_vocab_index,vi1503
169,Course2_W4-S2-L4_Maximum_Entropy_Sequence_Models_13-01,concept_vocab_index,vi1188
170,Course3_W4-S1-L5_-_The_Penn_Treebank_-_21_slides_17-55,concept_vocab_index,vi1282
171,Course1_W6-S1-L4_Learning_Phrases_from_Alignments_Part_3_8-47,concept_vocab_index,vi538
172,Course1_W5-S2-L5_The_EM_Algorithm_for_IBM_Model_2_Part_1_5-09,concept_vocab_index,vi1200
173,Course2_W4-S2-L2_Evaluation_of_Named_Entity_Recognition_6-34,concept_vocab_index,vi1740
174,Course3_W4-S1-L1_-_Syntax_-_30_slides_31-02,concept_vocab_index,vi529
175,Course2_W4-S2-L4_Maximum_Entropy_Sequence_Models_13-01,concept_vocab_index,vi413
176,Course2_W4-S2-L4_Maximum_Entropy_Sequence_Models_13-01,concept_vocab_index,vi204
177,Course2_W2-S1-L8_Kneser-Ney_Smoothing_8-59,concept_vocab_index,vi0
178,Course1_W7-S1-L3_Features_in_Log-Linear_Models_Part_1_13-56,l_text_topics,topic_3
179,Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,concept_vocab_index,vi1789
180,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,concept_vocab_index,vi4
181,Course3_W11-S1-L1_-_Sentiment_Analysis_-_17_slides_08-49,concept_vocab_index,vi1552
182,Course2_W5-S1-L1_The_Maximum_Entropy_Model_Presentation_12-14,concept_vocab_index,vi1132
183,Course2_W8-S2-L1_What_is_Question_Answering_7-28,concept_vocab_index,vi1807
184,Course2_W5-S1-L3_Conditional_Maxent_Models_for_Classification_4-11,concept_vocab_index,vi672
185,Course2_W5-S2-L1_An_Intro_to_Parts_of_Speech_and_POS_Tagging_13-19,concept_vocab_index,vi361
186,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,concept_vocab_index,vi249
187,Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,concept_vocab_index,vi1200
188,Course1_W1-S2-L2_Introduction_to_the_Language_Modeling_Problem_Part_2_7-12,l_text_topics,topic_3
189,Course3_W5-S1-L4_-_Prepositional_phrase_attachment_3-3_-_18_slides_12-53,concept_vocab_index,vi1313
190,Course1_W7-S1-L2_Two_Example_Problems_11-19,concept_vocab_index,vi0
191,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,concept_vocab_index,vi1520
192,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi1060
193,Course2_W4-S2-L2_Evaluation_of_Named_Entity_Recognition_6-34,concept_vocab_index,vi318
194,Course2_W7-S2-L2_Scoring_with_the_Jaccard_Coefficient_5-06,concept_vocab_index,vi911
195,Course1_W2-S1-L1_The_Tagging_Problem_10-01,concept_vocab_index,vi175
196,Course2_W6-S2-L5_Latent_Variable_PCFGs_12-07,concept_vocab_index,vi192
197,Course2_W6-S2-L2_Charniaks_Model_18-23,concept_vocab_index,vi339
198,Course3_W12-S1-L6_-__Machine_Translation_Noisy_Channel_Methods_-_22_slides_11-53,level,level_2
199,Course1_W2-S1-L1_The_Tagging_Problem_10-01,concept_vocab_index,vi288
200,Course2_W6-S2-L4_The_Return_of_Unlexicalized_PCFGs_20-53,concept_vocab_index,vi557
201,Course2_W4-S2-L4_Maximum_Entropy_Sequence_Models_13-01,concept_vocab_index,vi997
202,Course1_W8-S1-L7_An_Example_Application_9-28,concept_vocab_index,vi2039
203,Course2_W1-S2-L3_Word_Tokenization_14-26,concept_vocab_index,vi4
204,Course2_W6-S3-L3_Dependencies_Encode_Relational_Structure_7-20,concept_vocab_index,vi1200
205,Course1_W2-S1-L3_Hidden_Markov_Models_HMMs-_Basic_Definitions_12-00,concept_vocab_index,vi288
206,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,concept_vocab_index,vi283
207,Course1_W3-S2-L5_The_CKY_Parsing_Algorithm_Part_2__13-22,concept_vocab_index,vi653
208,Course1_W10-S1-L4_GLMs_for_Tagging_Part_2_7-35,concept_vocab_index,vi675
209,Course2_W7-S2-L6_The_Vector_Space_Model_16-22,concept_vocab_index,vi1893
210,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,concept_vocab_index,vi2039
211,Course2_W6-S3-L2_Greedy_Transition-Based_Parsing_31-05,concept_vocab_index,vi955
212,Course2_W3-S1-L7_Precision_Recall_and_the_F_measure_16-16,concept_vocab_index,vi1200
213,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,concept_vocab_index,vi675
214,Course2_W2-S1-L7_Good-Turing_Smoothing_15-35,concept_vocab_index,vi52
215,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,concept_vocab_index,vi0
216,Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,level,level_3
217,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi475
218,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi1078
219,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,concept_vocab_index,vi1468
220,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,concept_vocab_index,vi1132
221,Course1_W6-S2-L6_The_Decoding_Algorithm_Part_3_12-29,concept_vocab_index,vi751
222,Course1_W9-S1-L3_The_Brown_Clustering_Algorithm_Part_1_11-50,concept_vocab_index,vi2049
223,Course1_W9-S2-L5_GLMs_for_Parse_Reranking_10-36,concept_vocab_index,vi4
224,Course3_W8-S1-L2_-_Evaluation_of_QA__System_Architecture_-_21_slides_21-59,concept_vocab_index,vi129
225,Course3_W2-S1-L2_-_Morphology_and_the_Lexicon_-_20_slides_21-02,concept_vocab_index,vi392
226,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi1257
227,Course1_W3-S1-L4_Context-Free_Grammars_Part_1_12-11,concept_vocab_index,vi1842
228,Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,concept_vocab_index,vi1937
229,Course3_W4-S1-L2_-_Parsing_-_22_slides_17-38,concept_vocab_index,vi2039
230,Course2_W3-S1-L3_Formalizing_the_Naive_Bayes_Classifier_9-28,l_text_topics,topic_9
231,Course2_W6-S3-L1_Dependency_Parsing_Introduction_10-25,concept_vocab_index,vi1520
232,Course2_W5-S2-L1_An_Intro_to_Parts_of_Speech_and_POS_Tagging_13-19,concept_vocab_index,vi1520
233,Course3_W2-S1-L5_-_Spelling_Similarity-_Edit_Distance_-_32_slides_21-23,concept_vocab_index,vi175
234,Course2_W2-S2-L1_The_Spelling_Correction_Task_5-39,concept_vocab_index,vi1073
235,Course1_W8-S2-L3_Representing_Trees_as_Decision_Sequences_Part_1_7-23,concept_vocab_index,vi175
236,Course3_W8-S1-L2_-_Evaluation_of_QA__System_Architecture_-_21_slides_21-59,concept_vocab_index,vi1349
237,Course2_W3-S1-L7_Precision_Recall_and_the_F_measure_16-16,l_text_topics,topic_12
238,Course1_W4-S2-L7_Evaluation_of_Lexicalized_PCFGs_Part_2_11-28,concept_vocab_index,vi1693
239,Course2_W2-S2-L4_State_of_the_Art_Systems_7-10,concept_vocab_index,vi1003
240,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi126
241,Course2_W3-S1-L7_Precision_Recall_and_the_F_measure_16-16,concept_vocab_index,vi142
242,Course3_W5-S1-L1_-_Parsing_Introduction_and_recap-Parsing_noun_sequences_-_20_slides_15-19,l_text_topics,topic_4
243,Course1_W9-S2-L1_Introduction_0-30,concept_vocab_index,vi1330
244,Course1_W10-S2-L7_Summary_2-50,concept_vocab_index,vi1673
245,Course1_W9-S2-L6_Parameter_Estimation_with_the_Perceptron_Algorithm_6-11,concept_vocab_index,vi318
246,Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,concept_vocab_index,vi1842
247,Course2_W1-S3-L2_Computing_Minimum_Edit_Distance_5-54,l_text_topics,topic_0
248,Course1_W10-S2-L1_Introduction_0-37,level,level_1
249,Course2_W5-S1-L4_Smoothing-Regularization-Priors_for_Maxent_Models_29-24,concept_vocab_index,vi1330
250,Course3_W5-S1-L4_-_Prepositional_phrase_attachment_3-3_-_18_slides_12-53,concept_vocab_index,vi0
251,Course1_W2-S1-L3_Hidden_Markov_Models_HMMs-_Basic_Definitions_12-00,concept_vocab_index,vi557
252,Course1_W6-S2-L2_Definition_of_the_Decoding_Problem_Part_2_13-00,concept_vocab_index,vi1324
253,Course3_W4-S1-L5_-_The_Penn_Treebank_-_21_slides_17-55,concept_vocab_index,vi142
254,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,concept_vocab_index,vi129
255,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,concept_vocab_index,vi529
256,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,l_text_topics,topic_12
257,Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05,l_text_topics,topic_4
258,Course2_W7-S1-L1_Introduction_to_Information_Retrieval_9-16,concept_vocab_index,vi1073
259,Course2_W6-S2-L5_Latent_Variable_PCFGs_12-07,concept_vocab_index,vi1600
260,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi1945
261,Course1_W7-S1-L5_Definition_of_Log-linear_Models_Part_1_11-50,concept_vocab_index,vi175
262,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,concept_vocab_index,vi0
263,Course2_W6-S2-L4_The_Return_of_Unlexicalized_PCFGs_20-53,concept_vocab_index,vi401
264,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34,level,level_1
265,Course1_W6-S2-L3_Definition_of_the_Decoding_Problem_Part_3_10-43,concept_vocab_index,vi2014
266,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,concept_vocab_index,vi1003
267,Course3_W7-S1-L5_-_Statistical_POS_Tagging_-_16_slides_09-28,concept_vocab_index,vi226
268,Course1_W3-S2-L3_Basics_of_PCFGs_Part_2_8-26,concept_vocab_index,vi84
269,Course1_W3-S1-L2_Introduction_to_the_Parsing_Problem_Part_1_10-37,concept_vocab_index,vi1349
270,Course3_W3-S1-L4_-_Dimensionality_Reduction_-_38_slides_23-50,concept_vocab_index,vi460
271,Course1_W1-S3-L4_Discounting_Methods_Part_2_3-34,concept_vocab_index,vi0
272,Course2_W7-S2-L4_Inverse_Document_Frequency_Weighting_10-16,concept_vocab_index,vi192
273,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,concept_vocab_index,vi1282
274,Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05,concept_vocab_index,vi370
