,feature,proba,topic_num,cv_index,cv_index_1
204,word,0.008623762,2,['vi560'],vi560
206,first,0.00841619,2,['vi1777'],vi1777
207,sentence,0.008251464,2,['vi2014'],vi2014
213,sentences,0.0047353855,2,['vi1667'],vi1667
222,examples,0.0036091076,2,['vi2009'],vi2009
227,wordnet,0.0033862512,2,['vi930'],vi930
236,case,0.002701268,2,['vi351'],vi351
249,english,0.0023075207,2,"['vi1475', 'vi1916']",vi1475
254,collocations,0.00210477,2,['vi495'],vi495
258,languages,0.0020390942,2,"['vi763', 'vi918']",vi763
259,entity,0.0020311843,2,['vi221'],vi221
268,constraint,0.0018893222,2,['vi1948'],vi1948
273,language,0.001798887,2,['vi694'],vi694
278,features,0.0017111289,2,"['vi665', 'vi1546']",vi665
281,similar,0.0016681085,2,['vi1754'],vi1754
286,collocation,0.001628098,2,['vi1223'],vi1223
300,example,0.019456077,3,['vi1711'],vi1711
303,word,0.009124767,3,['vi560'],vi560
304,sentence,0.008831301,3,['vi2014'],vi2014
305,words,0.008203334,3,['vi1449'],vi1449
307,language,0.007717656,3,['vi694'],vi694
308,first,0.007276338,3,['vi1777'],vi1777
310,english,0.0069870823,3,"['vi1475', 'vi1916']",vi1475
311,languages,0.006367128,3,"['vi763', 'vi918']",vi763
316,sentences,0.0050894334,3,['vi1667'],vi1667
317,verb,0.004558148,3,['vi1588'],vi1588
319,case,0.0045198007,3,['vi351'],vi351
322,time,0.0044982294,3,['vi573'],vi573
329,examples,0.0038464775,3,['vi2009'],vi2009
330,information,0.003769263,3,['vi967'],vi967
335,natural_language_processing,0.0033558796,3,"['vi234', 'vi611']",vi234
339,noun,0.0029228064,3,['vi773'],vi773
341,problem,0.0026924,3,['vi1431'],vi1431
347,summarization,0.0024369764,3,['vi1348'],vi1348
359,list,0.0020938718,3,['vi1221'],vi1221
364,french,0.0019944054,3,['vi1444'],vi1444
368,postings,0.0019561863,3,['vi508'],vi508
369,part_speech,0.0019489309,3,['vi1128'],vi1128
371,adjective,0.001837782,3,['vi20'],vi20
392,meaning,0.0015572829,3,['vi117'],vi117
403,algorithm,0.010825906,4,['vi1198'],vi1198
404,example,0.0072128675,4,['vi1711'],vi1711
405,accuracy,0.006982175,4,['vi1387'],vi1387
411,first,0.0053983754,4,['vi1777'],vi1777
417,information,0.004971871,4,['vi967'],vi967
422,sentences,0.004569504,4,['vi1667'],vi1667
424,training_set,0.0043378556,4,"['vi236', 'vi998']",vi236
427,method,0.004170031,4,['vi957'],vi957
437,summarization,0.00339799,4,['vi1348'],vi1348
439,training_data,0.0031516242,4,['vi666'],vi666
448,lambda,0.0029206283,4,['vi729'],vi729
449,similar,0.002878984,4,['vi1754'],vi1754
456,evaluation,0.002738483,4,['vi142'],vi142
459,case,0.0026731843,4,['vi351'],vi351
463,similarity,0.0026216567,4,['vi1512'],vi1512
468,terms,0.002491972,4,['vi1574'],vi1574
475,words,0.0022880218,4,['vi1449'],vi1449
492,dialogue,0.0019270009,4,['vi1499'],vi1499
501,grammar,0.018811041,5,['vi2003'],vi2003
502,noun_phrase,0.016928049,5,['vi756'],vi756
507,sentence,0.011107502,5,['vi2014'],vi2014
508,verb,0.010115372,5,['vi1588'],vi1588
510,verb_phrase,0.009360163,5,['vi315'],vi315
513,example,0.00888113,5,['vi1711'],vi1711
518,noun,0.006964499,5,['vi773'],vi773
519,probability,0.0068226606,5,"['vi1054', 'vi1334']",vi1054
520,parsing,0.0068097427,5,"['vi148', 'vi771']",vi148
523,prepositional_phrase,0.0059617884,5,['vi449'],vi449
544,first,0.0041208877,5,['vi1777'],vi1777
547,probabilities,0.0037967858,5,['vi1349'],vi1349
548,determiner,0.0037314685,5,['vi1192'],vi1192
549,algorithm,0.0037048946,5,['vi1198'],vi1198
552,case,0.0036012365,5,['vi351'],vi351
553,words,0.003510986,5,['vi1449'],vi1449
556,word,0.0034408153,5,['vi560'],vi560
560,time,0.0032855063,5,['vi573'],vi573
569,parse_tree,0.002877256,5,['vi28'],vi28
573,lexical,0.0027779758,5,['vi2051'],vi2051
581,constituents,0.0023767329,5,['vi852'],vi852
584,span,0.0023556654,5,['vi1893'],vi1893
591,grammars,0.002238246,5,['vi772'],vi772
601,word,0.022290995,6,['vi560'],vi560
602,english,0.018159686,6,"['vi1475', 'vi1916']",vi1475
603,words,0.01688281,6,['vi1449'],vi1449
604,sentence,0.016835619,6,['vi2014'],vi2014
606,model,0.013858427,6,['vi839'],vi839
607,example,0.012876206,6,['vi1711'],vi1711
609,parameters,0.011161587,6,"['vi1350', 'vi1922']",vi1350
610,probability,0.010632035,6,"['vi1054', 'vi1334']",vi1054
611,french,0.010169572,6,['vi1444'],vi1444
616,problem,0.008037931,6,['vi1431'],vi1431
617,sequence,0.0076456545,6,['vi866'],vi866
619,alignment,0.007193042,6,"['vi362', 'vi1886']",vi362
626,language_model,0.005819719,6,"['vi240', 'vi373']",vi240
627,first,0.0057939803,6,['vi1777'],vi1777
630,trigram,0.005375423,6,"['vi202', 'vi1792']",vi202
632,models,0.0052016657,6,['vi554'],vi554
633,previous,0.0050697047,6,['vi933'],vi933
635,case,0.004911331,6,['vi351'],vi351
637,terms,0.0047888854,6,['vi1574'],vi1574
639,input,0.0046104607,6,['vi1032'],vi1032
643,training,0.0043140156,6,['vi836'],vi836
644,algorithm,0.004221202,6,['vi1198'],vi1198
645,estimate,0.004183772,6,['vi297'],vi297
649,sentences,0.0040375767,6,['vi1667'],vi1667
651,product,0.0038134083,6,['vi241'],vi241
657,condition,0.0035092758,6,['vi2013'],vi2013
660,counts,0.0033987563,6,"['vi520', 'vi1381']",vi520
662,examples,0.0033469878,6,['vi2009'],vi2009
664,distribution,0.0032575382,6,['vi485'],vi485
668,define,0.0030235683,6,['vi342'],vi342
677,process,0.002535735,6,['vi436'],vi436
679,language_models,0.0025216416,6,['vi1992'],vi1992
681,conditioned,0.0025188944,6,['vi53'],vi53
695,language,0.0022117516,6,['vi694'],vi694
700,features,0.016091986,7,"['vi665', 'vi1546']",vi665
703,word,0.010004428,7,['vi560'],vi560
706,model,0.00923349,7,['vi839'],vi839
711,words,0.007988985,7,['vi1449'],vi1449
712,models,0.007849061,7,['vi554'],vi554
713,probability,0.0077725635,7,"['vi1054', 'vi1334']",vi1054
714,function,0.0071508167,7,['vi939'],vi939
720,example,0.005055118,7,['vi1711'],vi1711
724,state,0.004795352,7,['vi723'],vi723
728,likelihood,0.004316729,7,['vi927'],vi927
732,sentiment,0.0038091328,7,['vi393'],vi393
736,classification,0.0035327636,7,"['vi801', 'vi2006']",vi801
741,sequence,0.0033666356,7,['vi866'],vi866
746,naive_bayes,0.0030324361,7,['vi1060'],vi1060
750,maximum_entropy,0.0028437222,7,['vi155'],vi155
757,lambda,0.0026359023,7,['vi729'],vi729
762,distribution,0.0025232541,7,['vi485'],vi485
764,previous,0.0024719418,7,['vi933'],vi933
766,vector,0.002457252,7,['vi757'],vi757
769,problem,0.002269634,7,['vi1431'],vi1431
770,probabilities,0.0022655514,7,['vi1349'],vi1349
771,time,0.0022396792,7,['vi573'],vi573
776,first,0.002161348,7,['vi1777'],vi1777
780,parameters,0.0020003924,7,"['vi1350', 'vi1922']",vi1350
784,smoothing,0.001963598,7,['vi764'],vi764
789,algorithm,0.0018881272,7,['vi1198'],vi1198
795,examples,0.0017925735,7,['vi2009'],vi2009
800,words,0.0137549415,8,['vi1449'],vi1449
805,part_speech,0.008264834,8,['vi1128'],vi1128
806,similarity,0.0069257785,8,['vi1512'],vi1512
807,word,0.0068675326,8,['vi560'],vi560
811,sentence,0.005342648,8,['vi2014'],vi2014
818,similar,0.004509449,8,['vi1754'],vi1754
820,information,0.004425989,8,['vi967'],vi967
822,problem,0.00412234,8,['vi1431'],vi1431
823,verb,0.0041185156,8,['vi1588'],vi1588
824,probability,0.0040074415,8,"['vi1054', 'vi1334']",vi1054
826,noun,0.0039659976,8,['vi773'],vi773
828,tagging,0.003957273,8,['vi258'],vi258
830,accuracy,0.003867377,8,['vi1387'],vi1387
840,example,0.0032795991,8,['vi1711'],vi1711
844,models,0.0031715,8,['vi554'],vi554
852,noun_phrase,0.002853313,8,['vi756'],vi756
854,sequence,0.0028414682,8,['vi866'],vi866
855,model,0.0027684702,8,['vi839'],vi839
856,parts_speech,0.0027650958,8,['vi1712'],vi1712
859,context,0.0026956694,8,"['vi1324', 'vi1562']",vi1324
860,prepositional_phrase,0.0026494928,8,['vi449'],vi449
861,parsing,0.002649178,8,"['vi148', 'vi771']",vi148
863,first,0.0025941895,8,['vi1777'],vi1777
889,tags,0.0020177814,8,['vi306'],vi306
892,sentences,0.0020105836,8,['vi1667'],vi1667
893,parse_tree,0.0019980737,8,['vi28'],vi28
906,word,0.019926636,9,['vi560'],vi560
907,words,0.007770953,9,['vi1449'],vi1449
908,probability,0.006417423,9,"['vi1054', 'vi1334']",vi1054
910,model,0.004685898,9,['vi839'],vi839
928,english,0.0019770407,9,"['vi1475', 'vi1916']",vi1475
930,probabilities,0.0018589188,9,['vi1349'],vi1349
934,language_model,0.0016706979,9,"['vi240', 'vi373']",vi240
937,list,0.0015219424,9,['vi1221'],vi1221
939,similar,0.0014790474,9,['vi1754'],vi1754
941,count,0.0014559632,9,['vi73'],vi73
943,example,0.001417688,9,['vi1711'],vi1711
946,edit_distance,0.0013584954,9,['vi1932'],vi1932
947,noisy_channel_model,0.0013584245,9,['vi1583'],vi1583
950,bigram,0.0013152517,9,['vi1447'],vi1447
954,models,0.0012542955,9,['vi554'],vi554
955,noisy_channel,0.0012537041,9,['vi1224'],vi1224
962,algorithm,0.0011876249,9,['vi1198'],vi1198
973,sequence,0.0011262089,9,['vi866'],vi866
977,counts,0.0010276887,9,"['vi520', 'vi1381']",vi520
978,corpus,0.0010065725,9,['vi639'],vi639
980,unigram,0.000999928,9,"['vi792', 'vi1358']",vi792
987,spelling_correction,0.00094261236,9,"['vi1727', 'vi1914']",vi1727
990,interpolation,0.00090736174,9,['vi1623'],vi1623
993,trigram,0.0008942811,9,"['vi202', 'vi1792']",vi202
995,likelihood,0.00087597646,9,['vi927'],vi927
1000,sentence,0.019895278,10,['vi2014'],vi2014
1001,word,0.019050648,10,['vi560'],vi560
1002,example,0.017558785,10,['vi1711'],vi1711
1004,words,0.011289131,10,['vi1449'],vi1449
1005,sentences,0.010727644,10,['vi1667'],vi1667
1016,first,0.004563102,10,['vi1777'],vi1777
1020,perplexity,0.0039195693,10,"['vi929', 'vi1707']",vi929
1021,case,0.0039041666,10,['vi351'],vi351
1022,meaning,0.003878479,10,['vi117'],vi117
1032,noun,0.0029278581,10,['vi773'],vi773
1038,training_data,0.0028116116,10,['vi666'],vi666
1039,verb,0.0027680895,10,['vi1588'],vi1588
1040,evaluation,0.002752065,10,['vi142'],vi142
1043,time,0.0026630033,10,['vi573'],vi573
1050,english,0.0024943813,10,"['vi1475', 'vi1916']",vi1475
1052,probability,0.0024505917,10,"['vi1054', 'vi1334']",vi1054
1054,method,0.002372877,10,['vi957'],vi957
1055,examples,0.0023355219,10,['vi2009'],vi2009
1065,information,0.0020758663,10,['vi967'],vi967
1073,disambiguation,0.0018974474,10,['vi255'],vi255
1089,corpus,0.001663602,10,['vi639'],vi639
1093,techniques,0.0016494745,10,['vi737'],vi737
1094,precision_recall,0.0016477208,10,['vi2010'],vi2010
1102,query,0.03271179,11,['vi1610'],vi1610
1103,words,0.012780756,11,['vi1449'],vi1449
1105,information_retrieval,0.012325194,11,['vi286'],vi286
1106,vector,0.011379727,11,['vi757'],vi757
1107,terms,0.011024906,11,['vi1574'],vi1574
1110,word,0.009618661,11,['vi560'],vi560
1111,cosine,0.009608224,11,['vi13'],vi13
1123,similarity,0.005992808,11,['vi1512'],vi1512
1131,vector_space,0.005097476,11,['vi1289'],vi1289
1136,document_frequency,0.004447262,11,['vi1442'],vi1442
1141,term_frequency,0.004119154,11,['vi1279'],vi1279
1142,cosine_similarity,0.0040829256,11,['vi1370'],vi1370
1143,tfidf,0.004073054,11,['vi1587'],vi1587
1153,example,0.0034924091,11,['vi1711'],vi1711
1154,search_engine,0.0032618297,11,['vi1729'],vi1729
1159,taking,0.0031010497,11,['vi1152'],vi1152
1160,dot_product,0.0030824244,11,['vi1206'],vi1206
1161,model,0.0030486756,11,['vi839'],vi839
1162,frequency,0.003031965,11,['vi1203'],vi1203
1163,ranking,0.0030302478,11,['vi1463'],vi1463
1173,normalization,0.0026887162,11,['vi1541'],vi1541
1200,words,0.02256546,12,['vi1449'],vi1449
1201,word,0.014588528,12,['vi560'],vi560
1202,example,0.013399362,12,['vi1711'],vi1711
1205,first,0.007391531,12,['vi1777'],vi1777
1206,sentence,0.0067979596,12,['vi2014'],vi2014
1207,cluster,0.006783585,12,['vi489'],vi489
1214,sequence,0.005675987,12,['vi866'],vi866
1216,examples,0.0055642133,12,['vi2009'],vi2009
1218,noun,0.004985436,12,['vi773'],vi773
1220,sentences,0.004841034,12,['vi1667'],vi1667
1223,algorithm,0.004446537,12,['vi1198'],vi1198
1224,similar,0.0040980754,12,['vi1754'],vi1754
1225,adjectives,0.004074519,12,['vi1725'],vi1725
1229,case,0.0038448637,12,['vi351'],vi351
1230,clustering,0.0037007178,12,['vi161'],vi161
1231,nouns,0.003657508,12,['vi1354'],vi1354
1235,brown,0.003491258,12,['vi1616'],vi1616
1236,constituents,0.0034761769,12,['vi852'],vi852
1240,constituent,0.0032401339,12,['vi644'],vi644
1244,verb,0.0028581694,12,['vi1588'],vi1588
1248,function,0.0026990792,12,['vi939'],vi939
1250,noun_phrase,0.0025264192,12,['vi756'],vi756
1258,determiner,0.0023230154,12,['vi1192'],vi1192
1262,training_data,0.0022927653,12,['vi666'],vi666
1265,problem,0.0021993464,12,['vi1431'],vi1431
1266,adjective,0.002186947,12,['vi20'],vi20
1269,representations,0.0021649573,12,['vi1086'],vi1086
1284,training,0.0019073604,12,['vi836'],vi836
1287,vocabulary,0.0018898245,12,"['vi268', 'vi1772']",vi268
1297,interpretation,0.0017908801,12,"['vi429', 'vi579']",vi429
1300,word,0.015448639,13,['vi560'],vi560
1302,dependency,0.011463824,13,['vi965'],vi965
1303,words,0.011112264,13,['vi1449'],vi1449
1306,sentence,0.009576665,13,['vi2014'],vi2014
1308,example,0.007418105,13,['vi1711'],vi1711
1311,dependencies,0.005839433,13,['vi1072'],vi1072
1313,sentences,0.0052267252,13,['vi1667'],vi1667
1317,relations,0.004231443,13,['vi1790'],vi1790
1325,verb,0.003949166,13,['vi1588'],vi1588
1327,first,0.0037984452,13,['vi1777'],vi1777
1329,information,0.003682713,13,['vi967'],vi967
1337,problem,0.0032497318,13,['vi1431'],vi1431
1338,case,0.0032162236,13,['vi351'],vi351
1339,relation,0.0030000964,13,"['vi1743', 'vi1934']",vi1743
1343,dependency_parsing,0.0028799544,13,"['vi1158', 'vi1820']",vi1158
1361,parsing,0.0023044173,13,"['vi148', 'vi771']",vi148
1362,algorithm,0.0022965393,13,['vi1198'],vi1198
1373,part_speech,0.0020318348,13,['vi1128'],vi1128
1399,entity,0.0016350432,13,['vi221'],vi221
