head,variable,value,prob
Course3_W7-S1-L3_-_Hidden_Markov_Models_1-2_-_30_slides_24-41,l_text_topics,topic_5,0.5441771128184392
Course2_W4-S3-L3_Supervised_Relation_Extraction_10-51,l_text_topics,topic_8,0.09340881520420541
Course3_W8-S1-L4_-_Question_Answering_Systems_1-2_-_14_slides_14-23,l_text_topics,topic_8,0.014658309745248687
Course2_W8-S3-L2_Generating_Snippets,l_text_topics,topic_6,0.039223615042458554
Course1_W5-S1-L5_Classical_Approaches_to_MT_Part_2_5-56,l_text_topics,topic_3,0.0469065911847958
Course1_W10-S2-L2_The_Dependency_Parsing_Problem_Part_1_5-21,l_text_topics,topic_5,0.08097452486858069
Course3_W12-S1-L1_-_Discourse_Analysis_-_19_slides_14-56,l_text_topics,topic_4,0.2198746461787303
Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,l_text_topics,topic_8,0.34957541447634455
Course1_W2-S1-L8_Summary_1-50,l_text_topics,topic_3,0.06621512333198544
Course2_W2-S1-L1_Introduction_to_N-grams_8-41,l_text_topics,topic_3,0.908714112414072
Course3_W1-S1-L1_-_Introduction_-_11_slides_08-39,l_text_topics,topic_11,0.15103113627173473
Course1_W3-S1-L4_Context-Free_Grammars_Part_1_12-11,l_text_topics,topic_13,0.24049737161342497
Course1_W5-S1-L1_Opening_Comments_0-25,l_text_topics,topic_2,0.4740194096239385
Course2_W4-S3-L4_Semi-Supervised_and_Unsupervised_Relation_Extraction_9-53,l_text_topics,topic_14,0.29811969268095434
Course3_W5-S1-L4_-_Prepositional_phrase_attachment_3-3_-_18_slides_12-53,l_text_topics,topic_12,0.7040032349373231
Course3_W3-S1-L2_-_Thesaurus-based_Word_Similarity_Methods_-_11_slides_07-52,l_text_topics,topic_13,0.9982814395471087
Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,l_text_topics,topic_0,0.28993125758188437
Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,l_text_topics,topic_5,0.10705620703598868
Course2_W2-S1-L5_Smoothing-_Add-One_6-30,l_text_topics,topic_3,0.058026688232915485
Course3_W9-S1-L6_-_Sentence_Simplification_-_8_slides_05-30,l_text_topics,topic_2,0.6745855236554792
Course2_W7-S2-L2_Scoring_with_the_Jaccard_Coefficient_5-06,l_text_topics,topic_8,0.0
Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,l_text_topics,topic_12,0.9216538617064295
Course1_W8-S2-L2_Conditional_History-based_Models_7-14,l_text_topics,topic_14,0.8513950667205823
Course2_W5-S3-L3_The_Exponential_Problem_in_Parsing_14-30,l_text_topics,topic_13,0.4599676506267691
Course1_W9-S1-L1_Introduction_0-36,l_text_topics,topic_3,0.3681763040841084
Course2_W6-S1-L4_CKY_Example_21-52,l_text_topics,topic_13,0.10068742418115649
Course1_W2-S1-L1_The_Tagging_Problem_10-01,l_text_topics,topic_3,0.09937323089365145
Course2_W8-S3-L3_Evaluating_Summaries-_ROUGE,l_text_topics,topic_6,0.5877476748887991
Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,l_text_topics,topic_5,0.04073999191265669
Course3_W5-S1-L8_-_Alternative_Parsing_Formalisms_-_10_slides_10-03,l_text_topics,topic_4,0.8377476748887991
Course3_W6-S1-L4_-_Language_Modeling_1-3_contd_-__5_slides_03-05,l_text_topics,topic_2,0.059543065103113635
Course1_W7-S1-L8_Parameter_Estimation_in_Log-linear_Models_Part_2_4-13,l_text_topics,topic_3,0.9980792559644158
Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,l_text_topics,topic_8,0.9985847149211484
Course1_W5-S2-L5_The_EM_Algorithm_for_IBM_Model_2_Part_1_5-09,l_text_topics,topic_3,0.15649009300444805
Course3_W1-S1-L3_-_Funny_Sentences_-_10_slides_06-35,l_text_topics,topic_12,0.30317428224828147
Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05,l_text_topics,topic_2,0.447836635665184
Course2_W8-S2-L2_Answer_Types_and_Query_Formulation_8-47,l_text_topics,topic_0,0.14092195713708047
Course3_W11-S1-L2_-_Sentiment_Lexicons_-_12_slides_07-53,l_text_topics,topic_0,0.06722604124545088
Course2_W5-S1-L4_Smoothing-Regularization-Priors_for_Maxent_Models_29-24,l_text_topics,topic_5,0.1857056207035989
Course2_W6-S1-L3_CKY_Parsing_23-25,l_text_topics,topic_2,0.4934290335624747
Course3_W6-S1-L7_-_Word_Sense_Disambiguation_-_15_slides_20-06,l_text_topics,topic_12,0.37767893247068335
Course1_W2-S1-L3_Hidden_Markov_Models_HMMs-_Basic_Definitions_12-00,l_text_topics,topic_5,0.2854832187626365
Course2_W7-S2-L3_Term_Frequency_Weighting_5-59,l_text_topics,topic_11,0.0551961180752123
Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,l_text_topics,topic_3,0.004852405984634047
Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56,l_text_topics,topic_3,0.14395471087747674
Course2_W6-S3-L1_Dependency_Parsing_Introduction_10-25,l_text_topics,topic_8,0.011625556004852409
Course2_W7-S2-L6_The_Vector_Space_Model_16-22,l_text_topics,topic_8,0.17084512737565707
Course1_W9-S2-L2_Recap_of_History-based_Models_7-11,l_text_topics,topic_14,0.18843509906995554
Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,l_text_topics,topic_12,0.781843914274161
Course3_W6-S1-L3_-_Language_Modeling_1-3_-_18_slides_19-21,l_text_topics,topic_2,0.7106752931661949
Course3_W1-S1-L1_-_Introduction_-_11_slides_08-39,l_text_topics,topic_6,0.31479983825313385
Course1_W5-S2-L1_Introduction_3-24,l_text_topics,topic_14,0.2992317023857663
Course1_W4-S1-L1_Weaknesses_of_PCFGs_14-59,l_text_topics,topic_5,0.009401536595228466
Course3_W4-S1-L4_-_Earley_Parser_-_20_slides_16-34,l_text_topics,topic_4,0.9152850788515973
Course1_W3-S1-L6_A_Simple_Grammar_for_English_Part_1_10-32,l_text_topics,topic_5,0.027699150828952687
Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,l_text_topics,topic_4,0.20380105135463
Course3_W9-S1-L2_-_Summarization_Techniques_1-3_-_26_slides_19-49,l_text_topics,topic_6,0.04660331581075616
Course3_W9-S1-L5_-_Summarization_Evaluation_-_24_slides_25-49,l_text_topics,topic_3,0.9976748887990294
Course3_W1-S1-L2_-_Examples_of_Text_-_14_slides_07-52,l_text_topics,topic_2,0.09664375252729478
Course2_W1-S2-L3_Word_Tokenization_14-26,l_text_topics,topic_5,0.10786494136676103
Course1_W3-S2-L3_Basics_of_PCFGs_Part_2_8-26,l_text_topics,topic_3,0.10412454508693894
Course2_W2-S1-L7_Good-Turing_Smoothing_15-35,l_text_topics,topic_8,0.7977153255155681
Course3_W7-S1-L5_-_Statistical_POS_Tagging_-_16_slides_09-28,l_text_topics,topic_3,0.26981399110392235
Course1_W5-S1-L5_Classical_Approaches_to_MT_Part_2_5-56,l_text_topics,topic_2,0.06318236959158917
Course3_W7-S1-L3_-_Hidden_Markov_Models_1-2_-_30_slides_24-41,l_text_topics,topic_3,0.0846138293570562
Course3_W12-S1-L3_-_Dialogue_Systems_-_18_slides_09-22,l_text_topics,topic_6,0.06601293974929236
Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,l_text_topics,topic_8,0.12312980186008897
Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,l_text_topics,topic_5,0.17761827739587546
Course2_W3-S1-L8_Text_Classification-_Evaluation_7-17,l_text_topics,topic_14,0.014961585119288311
Course2_W2-S1-L3_Evaluation_and_Perplexity_11-09,l_text_topics,topic_12,0.04963606955115245
Course2_W8-S2-L2_Answer_Types_and_Query_Formulation_8-47,l_text_topics,topic_10,0.18135867367569752
Course1_W4-S2-L1_Introduction_00-17,l_text_topics,topic_5,0.04023453295592398
Course2_W5-S1-L2_Feature_Overlap-Feature_Interaction_12-51,l_text_topics,topic_14,0.1737767893247068
Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,l_text_topics,topic_8,0.045592397897290735
Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,l_text_topics,topic_13,0.15254751314193288
Course3_W2-S1-L1_-_Parts_of_speech_-_17_slides_15-50,l_text_topics,topic_2,0.6154468257177518
Course2_W4-S2-L3_Sequence_Models_for_Named_Entity_Recognition_15-05,l_text_topics,topic_14,0.28730287100687424
Course1_W5-S2-L9_Summary_1-48,l_text_topics,topic_3,0.7101698342094622
Course3_W1-S1-L1_-_Introduction_-_11_slides_08-39,l_text_topics,topic_4,0.9986858067124951
Course2_W3-S1-L9_Practical_Issues_in_Text_Classification_5-56,l_text_topics,topic_13,0.5125353821269714
Course1_W4-S2-L2_Lexicalization_of_a_Treebank_10-44,l_text_topics,topic_4,0.5465022240194096
Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,l_text_topics,topic_14,0.013445208249090172
Course2_W7-S2-L3_Term_Frequency_Weighting_5-59,l_text_topics,topic_8,0.27335220380105135
Course3_W9-S1-L4_-_Summarization_Techniques_3-3_-_17_slides_10-23,l_text_topics,topic_11,0.9989890820865346
Course3_W8-S1-L1_-_Question_Answering_-_21_slides_21-39,l_text_topics,topic_4,0.24504650222401939
Course1_W1-S3-L5_Summary_2-31,l_text_topics,topic_13,0.4440962393853619
Course3_W9-S1-L4_-_Summarization_Techniques_3-3_-_17_slides_10-23,l_text_topics,topic_2,0.5467044076021028
Course3_W12-S1-L1_-_Discourse_Analysis_-_19_slides_14-56,l_text_topics,topic_14,0.10816821674080065
Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,l_text_topics,topic_3,0.41902547513141936
Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,l_text_topics,topic_7,0.00919935301253538
Course1_W3-S1-L2_Introduction_to_the_Parsing_Problem_Part_1_10-37,l_text_topics,topic_13,0.2574807925596442
Course3_W8-S1-L1_-_Question_Answering_-_21_slides_21-39,l_text_topics,topic_8,0.4949454104326729
Course1_W6-S1-L1_Introduction_0-41,l_text_topics,topic_6,0.5162757784067934
Course3_W11-S1-L7_-_Inference_-_9_slides_06-45,l_text_topics,topic_3,0.37676910634856453
Course2_W4-S2-L1_Introduction_to_Information_Extraction_9-18,l_text_topics,topic_0,0.4654266073594825
Course2_W2-S1-L1_Introduction_to_N-grams_8-41,l_text_topics,topic_2,0.11271734735139506
Course3_W8-S1-L5_-_Question_Answering_Systems_2-2_-_9_slides_10-55,l_text_topics,topic_6,0.6750909826122119
Course2_W3-S1-L6_Multinomial_Naive_Bayes-_A_Worked_Example_8-58,l_text_topics,topic_14,0.10988677719369187
Course3_W1-S1-L4_-_Administrative_-__9_slides_08-07,l_text_topics,topic_11,0.27264456126162556
Course3_W11-S1-L4_-_Representing_and_Understanding_Meaning_-_14_slides_09-22,l_text_topics,topic_2,0.690558026688233
Course3_W6-S1-L1_-_Probabilities_-_17_slides_21-11,l_text_topics,topic_2,0.16053376465830974
Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,l_text_topics,topic_13,0.1270723817226041
Course2_W2-S1-L3_Evaluation_and_Perplexity_11-09,l_text_topics,topic_14,0.3785887585928023
Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,l_text_topics,topic_3,0.9221593206631622
Course1_W7-S1-L2_Two_Example_Problems_11-19,l_text_topics,topic_3,0.312778002426203
Course2_W2-S2-L3_Real-Word_Spelling_Correction_9-19,l_text_topics,topic_9,0.3124747270521634
Course3_W2-S1-L7_-_Preprocessing_-_9_slides_11-48,l_text_topics,topic_0,0.8027699150828952
Course3_W9-S1-L6_-_Sentence_Simplification_-_8_slides_05-30,l_text_topics,topic_8,0.2775980590376062
Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,l_text_topics,topic_7,0.5831985442782046
Course1_W8-S1-L8_Summary_2-45,l_text_topics,topic_3,0.04923170238576627
Course1_W9-S1-L2_Word_Cluster_Representations_8-36,l_text_topics,topic_3,0.2510109179134654
Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,l_text_topics,topic_5,0.13424989890820865
Course1_W3-S2-L4_The_CKY_Parsing_Algorithm_Part_1__7-31,l_text_topics,topic_3,0.34209462191670037
Course1_W2-S1-L3_Hidden_Markov_Models_HMMs-_Basic_Definitions_12-00,l_text_topics,topic_3,0.15497371613424987
Course1_W10-S1-L3_GLMs_for_Tagging_Part_1_5-26,l_text_topics,topic_3,0.25859280226445613
Course2_W1-S3-L4_Weighted_Minimum_Edit_Distance_2-47,l_text_topics,topic_11,0.08673675697533362
Course1_W9-S1-L2_Word_Cluster_Representations_8-36,l_text_topics,topic_5,0.43964820056611403
Course1_W6-S1-L3_Learning_Phrases_from_Alignments_Part_2_7-01,l_text_topics,topic_3,0.04913061059441974
Course2_W7-S2-L1_Introducing_Ranked_Retrieval_4-27,l_text_topics,topic_8,0.7686008896077638
Course1_W10-S2-L3_The_Dependency_Parsing_Problem_Part_2_13-53,l_text_topics,topic_8,0.23301657905378084
Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,l_text_topics,topic_11,0.7365547917509099
Course1_W9-S2-L4_Three_Components_of_GLMs_14-39,l_text_topics,topic_5,0.7099676506267691
Course1_W6-S2-L4_The_Decoding_Algorithm_Part_1_14-39,l_text_topics,topic_7,0.6151435503437122
Course1_W5-S2-L2_IBM_Model_1_Part_1_13-06,l_text_topics,topic_2,0.21492114840274967
Course3_W6-S1-L1_-_Probabilities_-_17_slides_21-11,l_text_topics,topic_3,0.9620905782450465
Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,l_text_topics,topic_13,0.21057420137484834
Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,l_text_topics,topic_8,0.2639506672058229
Course1_W6-S1-L4_Learning_Phrases_from_Alignments_Part_3_8-47,l_text_topics,topic_2,0.9460169834209462
Course1_W6-S2-L6_The_Decoding_Algorithm_Part_3_12-29,l_text_topics,topic_3,0.926202992317024
Course1_W4-S1-L1_Weaknesses_of_PCFGs_14-59,l_text_topics,topic_13,0.20046502224019408
Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,l_text_topics,topic_3,0.32632430246663974
Course3_W5-S1-L1_-_Parsing_Introduction_and_recap-Parsing_noun_sequences_-_20_slides_15-19,l_text_topics,topic_12,0.46027092600080877
Course1_W9-S2-L7_Summary_3-01,l_text_topics,topic_3,0.37424181156490094
Course2_W4-S2-L1_Introduction_to_Information_Extraction_9-18,l_text_topics,topic_8,0.8843509906995553
Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,l_text_topics,topic_13,0.3075212292761828
Course1_W3-S1-L5_Context-Free_Grammars_Part_2_2-22,l_text_topics,topic_5,0.06277800242620299
Course3_W4-S1-L5_-_The_Penn_Treebank_-_21_slides_17-55,l_text_topics,topic_12,0.9794783663566519
Course1_W3-S1-L6_A_Simple_Grammar_for_English_Part_1_10-32,l_text_topics,topic_13,0.3539223615042459
Course3_W12-S1-L2_-_Coherence_-_19_slides_16-39,l_text_topics,topic_6,0.29640113222806314
Course3_W9-S1-L3_-_Summarization_Techniques_2-3_-_27_slides_20-34,l_text_topics,topic_4,0.33158107561665995
Course1_W3-S2-L5_The_CKY_Parsing_Algorithm_Part_2__13-22,l_text_topics,topic_13,0.6250505458956733
Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,l_text_topics,topic_13,0.09441973311767085
Course3_W8-S1-L2_-_Evaluation_of_QA__System_Architecture_-_21_slides_21-59,l_text_topics,topic_6,0.12211888394662355
Course3_W11-S1-L7_-_Inference_-_9_slides_06-45,l_text_topics,topic_2,0.8453295592397898
Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,l_text_topics,topic_3,0.9994945410432674
Course2_W5-S3-L1_Syntactic_Structure-_Constituency_vs_Dependency_8-46,l_text_topics,topic_5,0.10452891225232512
Course2_W8-S1-L3_Word_Similarity_and_Thesaurus_Methods_16-17,l_text_topics,topic_14,0.7996360695511525
Course3_W9-S1-L5_-_Summarization_Evaluation_-_24_slides_25-49,l_text_topics,topic_12,0.08966841892438335
Course1_W10-S2-L1_Introduction_0-37,l_text_topics,topic_5,0.9966639708855642
Course1_W5-S1-L2_introduction_2-03,l_text_topics,topic_3,0.04225636878285484
Course1_W3-S2-L1_Introduction_1-12,l_text_topics,topic_3,0.12687019813991102
Course1_W6-S2-L6_The_Decoding_Algorithm_Part_3_12-29,l_text_topics,topic_8,0.04175090982612212
Course2_W3-S1-L9_Practical_Issues_in_Text_Classification_5-56,l_text_topics,topic_14,0.5924989890820865
Course3_W7-S1-L4_-_Hidden_Markov_Models_2-2_-_9_slides_05-28,l_text_topics,topic_3,0.035281035179943396
Course2_W7-S2-L6_The_Vector_Space_Model_16-22,l_text_topics,topic_3,0.040436716538617065
Course3_W9-S1-L6_-_Sentence_Simplification_-_8_slides_05-30,l_text_topics,topic_9,0.17175495349777598
Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,l_text_topics,topic_2,0.1466841892438334
Course1_W6-S1-L4_Learning_Phrases_from_Alignments_Part_3_8-47,l_text_topics,topic_10,0.857662757784068
Course1_W6-S1-L3_Learning_Phrases_from_Alignments_Part_2_7-01,l_text_topics,topic_2,0.6366761019005257
Course1_W9-S1-L5_The_Brown_Clustering_Algorithm_Part_3_9-18,l_text_topics,topic_4,0.974828143954711
Course3_W12-S1-L1_-_Discourse_Analysis_-_19_slides_14-56,l_text_topics,topic_6,0.7373635260816821
Course2_W1-S3-L3_Backtrace_for_Computing_Alignments_5-55,l_text_topics,topic_0,0.04700768297614234
Course1_W7-S1-L2_Two_Example_Problems_11-19,l_text_topics,topic_8,0.8025677315002022
Course2_W6-S2-L1_Lexicalization_of_PCFGs_7-03,l_text_topics,topic_5,0.0082895268904165
Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05,l_text_topics,topic_13,0.0641932875050546
Course2_W1-S3-L3_Backtrace_for_Computing_Alignments_5-55,l_text_topics,topic_3,0.12606146380913869
Course3_W11-S1-L4_-_Representing_and_Understanding_Meaning_-_14_slides_09-22,l_text_topics,topic_9,0.8582693085321472
Course1_W1-S2-L5_Trigram_Language_Models_9-40,l_text_topics,topic_5,0.09280226445612617
Course2_W6-S1-L3_CKY_Parsing_23-25,l_text_topics,topic_5,0.4362110796603316
Course3_W8-S1-L5_-_Question_Answering_Systems_2-2_-_9_slides_10-55,l_text_topics,topic_0,0.1609381318236959
Course2_W4-S3-L1_What_is_Relation_Extraction_9-47,l_text_topics,topic_8,0.9392438334007278
Course3_W6-S1-L3_-_Language_Modeling_1-3_-_18_slides_19-21,l_text_topics,topic_8,0.07096643752527296
Course2_W4-S1-L5_Generative_vs,l_text_topics,topic_14,0.7606146380913871
Course2_W1-S2-L1_Regular_Expressions_11-25,l_text_topics,topic_0,0.34522846744844327
Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,l_text_topics,topic_4,0.9333805095026284
Course1_W8-S2-L2_Conditional_History-based_Models_7-14,l_text_topics,topic_5,0.047209866558835425
Course1_W4-S2-L2_Lexicalization_of_a_Treebank_10-44,l_text_topics,topic_5,0.04175090982612212
Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05,l_text_topics,topic_0,0.030934088152042055
Course1_W8-S1-L7_An_Example_Application_9-28,l_text_topics,topic_10,0.9981803477557623
Course3_W9-S1-L5_-_Summarization_Evaluation_-_24_slides_25-49,l_text_topics,topic_6,0.37161342498989086
Course3_W12-S1-L1_-_Discourse_Analysis_-_19_slides_14-56,l_text_topics,topic_2,0.010715729882733518
Course2_W3-S1-L9_Practical_Issues_in_Text_Classification_5-56,l_text_topics,topic_5,0.6714516781237364
Course1_W7-S1-L3_Features_in_Log-Linear_Models_Part_1_13-56,l_text_topics,topic_8,0.5774363121714517
Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,l_text_topics,topic_12,0.05064698746461786
Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,l_text_topics,topic_12,0.27739587545491307
Course1_W3-S1-L7_A_Simple_Grammar_for_English_Part_2_5-30,l_text_topics,topic_2,0.012029923170238578
Course1_W1-S3-L5_Summary_2-31,l_text_topics,topic_8,0.11109987868985038
Course1_W1-S2-L5_Trigram_Language_Models_9-40,l_text_topics,topic_13,0.011625556004852409
Course1_W6-S2-L2_Definition_of_the_Decoding_Problem_Part_2_13-00,l_text_topics,topic_3,0.34654266073594825
Course1_W1-S2-L5_Trigram_Language_Models_9-40,l_text_topics,topic_3,0.6146380913869794
Course3_W5-S1-L5_-_Statistical_Parsing_-_29_slides_12-52,l_text_topics,topic_3,0.71461787302871
Course2_W8-S2-L4_Using_Knowledge_in_QA_4-25,l_text_topics,topic_0,0.4493530125353822
Course2_W2-S1-L6_Interpolation_10-25,l_text_topics,topic_9,0.14516781237363524
Course2_W6-S1-L2_Grammar_Transforms_12-05,l_text_topics,topic_13,0.6658916295996765
Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,l_text_topics,topic_4,0.5751112009704812
Course3_W2-S1-L3_-_Text_Similarity-_Introduction_-_8_slides_07-27,l_text_topics,topic_2,0.8463404771532551
Course2_W6-S3-L1_Dependency_Parsing_Introduction_10-25,l_text_topics,topic_4,0.9940355843105539
Course1_W3-S1-L4_Context-Free_Grammars_Part_1_12-11,l_text_topics,topic_6,0.012737565709664375
Course3_W12-S1-L4_-_Machine_Translation_-_21_slides_10-55,l_text_topics,topic_8,0.46977355438738383
Course1_W1-S1-L1_Introduction_Part_1_11-17,l_text_topics,topic_12,0.11099878689850384
Course2_W4-S2-L4_Maximum_Entropy_Sequence_Models_13-01,l_text_topics,topic_14,0.46118075212292764
Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,l_text_topics,topic_3,0.1191872219975738
Course1_W3-S1-L3_Introduction_to_the_Parsing_Problem_Part_2_4-20,l_text_topics,topic_2,0.07096643752527296
Course1_W10-S2-L2_The_Dependency_Parsing_Problem_Part_1_5-21,l_text_topics,topic_8,0.5999797816417307
Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,l_text_topics,topic_13,0.3502830570157704
Course1_W6-S1-L5_A_Sketch_of_Phrase-based_Translation_8-17,l_text_topics,topic_14,0.05923978972907401
Course3_W11-S1-L6_-_Knowledge_Representation_-_15_slides_12-18,l_text_topics,topic_2,0.039830165790537816
Course2_W8-S1-L2_WordNet_and_Other_Online_Thesauri_6-23,l_text_topics,topic_13,0.21866154468257176
Course3_W12-S1-L7_-_Machine_Translation_Advanced_Methods_-_13_slides_09-36,l_text_topics,topic_2,0.4262029923170239
Course1_W2-S1-L2_Generative_Models_for_Supervised_Learning_8-57,l_text_topics,topic_2,0.5097048119692681
Course3_W4-S1-L4_-_Earley_Parser_-_20_slides_16-34,l_text_topics,topic_13,0.030934088152042055
Course1_W9-S1-L1_Introduction_0-36,l_text_topics,topic_9,0.1609381318236959
Course2_W5-S1-L1_The_Maximum_Entropy_Model_Presentation_12-14,l_text_topics,topic_14,0.030832996360695506
Course2_W6-S1-L3_CKY_Parsing_23-25,l_text_topics,topic_13,0.5605539830165791
Course2_W8-S3-L3_Evaluating_Summaries-_ROUGE,l_text_topics,topic_8,0.09239789729074
Course2_W6-S1-L4_CKY_Example_21-52,l_text_topics,topic_5,0.43570562070359886
Course2_W6-S1-L5_Constituency_Parser_Evaluation_9-45,l_text_topics,topic_5,0.9962596037201779
Course1_W8-S1-L3_Independence_Assumptions_in_Log-linear_Taggers_8-32,l_text_topics,topic_10,0.5062676910634857
Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,l_text_topics,topic_4,0.42852810351799436
Course3_W10-S1-L4_-_Text_Classification_-_26_slides_26-36,l_text_topics,topic_14,0.9936312171451678
Course1_W8-S2-L2_Conditional_History-based_Models_7-14,l_text_topics,topic_3,0.372017792155277
Course3_W12-S1-L2_-_Coherence_-_19_slides_16-39,l_text_topics,topic_2,0.1502224019409624
Course2_W3-S1-L8_Text_Classification-_Evaluation_7-17,l_text_topics,topic_12,0.002729478366356652
Course1_W4-S2-L5_Parameter_Estimation_in_Lexicalized_PCFGs_Part_2_9-08,l_text_topics,topic_4,0.622927618277396
Course1_W8-S2-L1_Introduction_0-47,l_text_topics,topic_14,0.9708855640921958
Course3_W7-S1-L2_-_Part_of_Speech_Tagging_-_15_slides_18-08,l_text_topics,topic_2,0.16437525272947834
Course2_W5-S3-L2_Empirical-Data-Driven_Approach_to_Parsing_7-11,l_text_topics,topic_13,0.7087545491306106
Course3_W8-S1-L1_-_Question_Answering_-_21_slides_21-39,l_text_topics,topic_9,0.17236150424585525
Course3_W12-S1-L2_-_Coherence_-_19_slides_16-39,l_text_topics,topic_4,0.985847149211484
Course2_W1-S3-L1_Defining_Minimum_Edit_Distance_7-04,l_text_topics,topic_0,0.08845531742822484
Course1_W6-S1-L5_A_Sketch_of_Phrase-based_Translation_8-17,l_text_topics,topic_8,0.10584310553983016
Course2_W8-S2-L2_Answer_Types_and_Query_Formulation_8-47,l_text_topics,topic_8,0.7551556813586737
Course1_W1-S2-L3_Markov_Processes_Part_1_8-56,l_text_topics,topic_13,0.05418520016174687
